,title,url,summary,overall_sentiment_score,overall_sentiment_label,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label,time_published,0
0,Target is to make India a key regional hub: Boeing's Gupte | The Financial Express,https://www.financialexpress.com/industry/target-is-to-make-india-a-key-regional-hub-boeings-gupte/3025226/,Target is to make India a key regional hub: Boeing's Gupte The Financial Express ...,0.20883,Somewhat-Bullish,,0.320526,Somewhat-Bullish,20230328T220332,"{'label': 'positive', 'score': 0.7752186059951782}"
1,Dow Jones Index Falls Below 200-Day Moving Average As Selling Pressure Mounts: What's Next For The Blue Chips? - SPDR Dow Jones Industrial Average ETF  ( ARCA:DIA ) ,https://www.benzinga.com/etfs/broad-u-s-equity-etfs/23/03/31536849/dow-jones-index-falls-below-200-day-moving-average-as-selling-pressure-mounts-whats-ne,"The Dow Jones Industrial Average slipped in the March 28 session as selling pressure intensified, pushing the index narrowly below the support of the 200-day moving average located at 32,356 points.",-0.012133,Neutral,,0.479384,Bullish,20230328T192825,"{'label': 'negative', 'score': 0.9741694331169128}"
2,"Don't Run! Capitalize On Bank Fears With These ""Buys""",https://www.forbes.com/sites/moneyshow/2023/03/28/dont-run-capitalize-on-bank-fears-with-these-buys/,"Banking sector problems keep grabbing headlines. But rather than run for the hills, savvy investors can use that volatility to add ""Buys"" ELSEWHERE. These three MoneyShow contributors name their favorite names.",0.140452,Neutral,,0.133846,Neutral,20230328T184820,"{'label': 'neutral', 'score': 0.9181578755378723}"
3,Russia Says Ukraine Using Long-range US Artillery,https://www.barrons.com/news/russia-says-ukraine-using-long-range-us-artillery-a585cc5a,"Moscow announced Tuesday it had for the first time downed a long-range rocket supplied to Ukraine by the United States, weapons Kyiv said were key to an anticipated counter-attack against Russian forces.",-0.048455,Neutral,,0.097244,Neutral,20230328T145657,"{'label': 'neutral', 'score': 0.572273313999176}"
4,Boeing  ( BA )  Wins Deal to Support P-8A Production Aircraft,https://www.zacks.com/stock/news/2071368/boeing-ba-wins-deal-to-support-p-8a-production-aircraft,Boeing (BA) is going to procure eight P-8A aircraft mechanisms as ancillary equipment to support P-8A aircraft production.,0.328233,Somewhat-Bullish,,0.369272,Bullish,20230328T141300,"{'label': 'positive', 'score': 0.6070292592048645}"
5,AAR Corp.  ( AIR )  Clinches an Agreement With Collins Aerospace,https://www.zacks.com/stock/news/2071258/aar-corp-air-clinches-an-agreement-with-collins-aerospace,AAR Corp. (AIR) announces a distribution agreement with Collins Aerospace's Cloud Cap Technology business.,0.383863,Bullish,,0.327465,Somewhat-Bullish,20230328T130500,"{'label': 'positive', 'score': 0.5537511110305786}"
6,3 Computer Peripheral Stocks to Buy From a Challenging Industry,https://www.zacks.com/commentary/2071190/3-computer-peripheral-stocks-to-buy-from-a-challenging-industry,"The Zacks Computer-Peripheral Equipment industry is suffering from weakening IT spending amid global slowdown concerns. Yet, SSYS, VUZI and TACT stocks are worth a watch now due to their end-market strength.",0.157282,Somewhat-Bullish,,0.172692,Somewhat-Bullish,20230328T130400,"{'label': 'negative', 'score': 0.916301965713501}"
7,Canada Mulls Replacing Aging Aurora Aircraft Fleet With Boeing's P-8A Poseidon: Report - Boeing  ( NYSE:BA ) ,https://www.benzinga.com/news/23/03/31524146/canada-mulls-replacing-aging-aurora-aircraft-fleet-with-boeings-p-8a-poseidon-report,"The Canadian government is reportedly exploring replacing its aging CP-140 Aurora aircraft fleet with 16 P-8A Poseidons from Boeing Co BA. Canada has submitted a letter of request through the U.S. foreign military sales program about the Boeing aircraft, reported Reuters.",0.082217,Neutral,,-0.049418,Neutral,20230328T094312,"{'label': 'positive', 'score': 0.7326545119285583}"
8,Plane truths | The Financial Express,https://www.financialexpress.com/opinion/plane-truths-2/3023883/,Plane truths The Financial Express ...,0.175225,Somewhat-Bullish,,0.240817,Somewhat-Bullish,20230327T230039,"{'label': 'neutral', 'score': 0.9163771271705627}"
9,Boeing  ( BA )  Outpaces Stock Market Gains: What You Should Know,https://www.zacks.com/stock/news/2071008/boeing-ba-outpaces-stock-market-gains-what-you-should-know,"In the latest trading session, Boeing (BA) closed at $200.57, marking a +1.54% move from the previous day.",0.168294,Somewhat-Bullish,,0.262556,Somewhat-Bullish,20230327T214521,"{'label': 'positive', 'score': 0.903095543384552}"
